Bike Station Latitude,Bike Station Longitude,Yelp Name,Distance,Review count,Rating,Price
59.91372007130073,10.735886645853412,BaoHouse,910.1491087789199,7,4.6,
59.91372007130073,10.735886645853412,Wok & Go Rådhusplassen,113.45722795462791,7,4.6,$$$
59.91372007130073,10.735886645853412,Katla,340.3300412425659,7,4.6,
59.91372007130073,10.735886645853412,Palace Grill,857.1447258066498,9,4.6,$$
59.91372007130073,10.735886645853412,Cielito Taquería,691.863164826948,9,4.6,
59.91372007130073,10.735886645853412,Himkok,877.1140125060978,74,4.6,$$
59.91372007130073,10.735886645853412,Ruffino Ristorante Italiano,503.3306170270323,29,4.5,$$
59.91372007130073,10.735886645853412,Den Glade Gris,476.14762063938855,177,4.5,$$
59.91372007130073,10.735886645853412,Bristol Bar,275.04276684648573,10,4.5,$$
59.91372007130073,10.735886645853412,Sushirull,802.6675298894269,3,5.0,$
